              Y               X               Z             Vxx             Vxy             Vxz             Vyy             Vyz             Vzz
         -5.229          12.838          -0.100         0.86829        -0.06272        -0.05966        -0.30580         0.00056        -0.56249
         13.950          -3.865          -0.100        -0.13089         0.07497        -0.00387         0.42900        -0.02309        -0.29811
         -7.805          12.090          -0.100         1.07777        -0.34513        -0.09093        -0.39974         0.01463        -0.67803
         13.076          -0.016          -0.100        -0.05500         0.04691        -0.00137         0.36374        -0.02151        -0.30874
         -7.890           7.802          -0.100       -30.75305        -6.12959        -2.15543       -17.10020         4.27449        47.85325
          7.686          -7.200          -0.100        11.49862         9.91268       -30.48509         3.69140       -14.38476       -15.19002
         -0.710          -4.151          -0.100        19.86193         2.83687       -21.41798         1.05589        -6.86124       -20.91781
          0.630          -3.374          -0.100         8.65017        -1.73314        -1.35601        -0.10457        -0.80525        -8.54559
        -12.016           0.516          -0.100        -1.11277         0.88878         0.09421         3.16956         0.45058        -2.05679
         14.571           4.626          -0.100        -0.10837         0.05427        -0.00061         0.32857        -0.01700        -0.22020
         12.324         -11.006          -0.100        -0.10956        -0.49644         0.02338         0.52486        -0.04319        -0.41530
          6.457          -8.801          -0.100       -26.69939        -1.81844        16.05915        -6.86321        -2.09178        33.56260
         14.107           8.894          -0.100        -0.09318         0.18325        -0.00591         0.30153        -0.01817        -0.20835
         -3.029          -5.540          -0.100       -23.19741        -8.33666        20.15463       -11.70844        12.83644        34.90585
         -0.303           2.024          -0.100       -10.58531        -5.77671        -4.01784       -17.16145        -1.15336        27.74677
         -7.625          -2.784          -0.100         8.50674         0.37175         1.57632        -2.52923         0.34092        -5.97751
         -7.042          -2.867          -0.100         7.90972        -0.88922         1.18671        -1.71848         0.12058        -6.19124
        -12.297          -5.015          -0.100        -0.01065         0.51168         0.04223         0.84442         0.08357        -0.83377
        -11.100           4.128          -0.100        -1.44952        -2.16209        -0.26784         4.87199         0.99051        -3.42248
         -9.558          -3.140          -0.100         2.19293         1.43285         0.36188         0.69148         0.40911        -2.88441
          6.557         -11.617          -0.100         2.92797        -1.22314         0.44907        -0.87164        -0.09242        -2.05632
         13.350          -6.602          -0.100        -0.27335         0.00598        -0.00262         0.66698        -0.04068        -0.39363
          2.896         -10.412          -0.100         6.58735         1.37172         1.51177        -1.63655         0.28882        -4.95080
         -4.652           3.003          -0.100        -2.72142        23.13934        10.67730        22.85525        33.13027       -20.13383
          2.658          12.688          -0.100         0.77995         0.07532        -0.06641        -0.21486         0.00206        -0.56508
          9.584          -7.007          -0.100        -1.25587         2.34652        -0.45835         4.23812        -0.95220        -2.98225
         12.191          13.807          -0.100         0.08437         0.22360        -0.00966         0.07641        -0.00924        -0.16077
         13.433          -4.979          -0.100        -0.18598         0.08889        -0.00555         0.54511        -0.03205        -0.35912
         -5.498           9.002          -0.100         1.65542         0.42428        -0.54217         1.45636        -0.16046        -3.11178
